season;champions;runners up;third place;winning manager
1888-89;Preston North End;Aston Villa;Wolverhampton Wanderers;William Sudell 
1889-90;Preston North End;Everton;Blackburn Rovers;William Sudell 
1890-91;Everton;Preston North End;Notts County;Dick Molyneux 
1891-92;Sunderland;Preston North End;Bolton Wanderers;Tom Watson
1892-93;Sunderland;Preston North End;Everton;Tom Watson
1893-94;Aston Villa;Sunderland;Derby County;George Ramsay
1894-95;Sunderland;Everton;Aston Villa;Tom Watson
1895-96;Aston Villa;Derby County;Everton;George Ramsay
1896-97;Aston Villa;Sheffield United;Derby County;George Ramsay
1897-98;Sheffield United;Sunderland;Wolverhampton Wanderers;Joseph Wostinholm
1898-99;Aston Villa;Liverpool;Burnley;George Ramsay
1899-00;Aston Villa;Sheffield United;Sunderland;George Ramsay
1900-01;Liverpool;Sunderland;Notts County;Tom Watson
1901-02;Sunderland;Everton;Newcastle United;Alex Mackie
1902-03;The Wednesday;Aston Villa;Sunderland;Arthur Dickinson
1903-04;The Wednesday;Manchester City;Everton;Arthur Dickinson
1904-05;Newcastle United;Everton;Manchester City;Frank Watt 
1905-06;Liverpool;Preston North End;The Wednesday;Tom Watson
1906-07;Newcastle United;Bristol City;Everton;Frank Watt 
1907-08;Manchester United;Aston Villa;Manchester City;Ernest Mangnall
1908-09;Newcastle United;Everton;Sunderland;Frank Watt 
1909-10;Aston Villa;Liverpool;Blackburn Rovers;George Ramsay
1910-11;Manchester United;Aston Villa;Sunderland;Ernest Mangnall
1911-12;Blackburn Rovers;Everton;Newcastle United;Robert Middleton
1912-13;Sunderland;Aston Villa;The Wednesday;Bob Kyle
1913-14;Blackburn Rovers;Aston Villa;Middlesbrough;Robert Middleton
1914-15;Everton;Oldham Athletic;Blackburn Rovers;Will Cuff 
1919-20;West Bromwich Albion;Burnley;Chelsea;Fred Everiss
1920-21;Burnley;Manchester City;Bolton Wanderers;John Haworth
1921-22;Liverpool;Tottenham Hotspur;Burnley;David Ashworth
1922-23;Liverpool;Sunderland;Huddersfield Town;Matt McQueen
1923-24;Huddersfield Town;Cardiff City;Sunderland;Herbert Chapman
1924-25;Huddersfield Town;West Bromwich Albion;Bolton Wanderers;Herbert Chapman
1925-26;Huddersfield Town;Arsenal;Sunderland;Cecil Potter
1926-27;Newcastle United;Huddersfield Town;Sunderland;Frank Watt 
1927-28;Everton;Huddersfield Town;Leicester City;Thomas McIntosh 
1928-29;The Wednesday;Leicester City;Aston Villa;Robert Brown
1929-30;Sheffield Wednesday;Derby County;Manchester City;Robert Brown
1930-31;Arsenal;Aston Villa;Sheffield Wednesday;Herbert Chapman
1931-32;Everton;Arsenal;Sheffield Wednesday;Thomas McIntosh 
1932-33;Arsenal;Aston Villa;Sheffield Wednesday;Herbert Chapman
1933-34;Arsenal;Huddersfield Town;Tottenham Hotspur;Joe Shaw 
1934-35;Arsenal;Sunderland;Sheffield Wednesday;George Allison
1935-36;Sunderland;Derby County;Huddersfield Town;Johnny Cochrane
1936-37;Manchester City;Charlton Athletic;Arsenal;Wilf Wild
1937-38;Arsenal;Wolverhampton Wanderers;Preston North End;George Allison
1938-39;Everton;Wolverhampton Wanderers;Charlton Athletic;Theo Kelly 
1946-47;Liverpool;Manchester United;Wolverhampton Wanderers;George Kay
1947-48;Arsenal;Manchester United;Burnley;Tom Whittaker
1948-49;Portsmouth;Manchester United;Derby County;Bob Jackson
1949-50;Portsmouth;Wolverhampton Wanderers;Sunderland;Bob Jackson
1950-51;Tottenham Hotspur;Manchester United;Blackpool;Arthur Rowe
1951-52;Manchester United;Tottenham Hotspur;Arsenal;Matt Busby
1952-53;Arsenal;Preston North End;Wolverhampton Wanderers;Tom Whittaker
1953-54;Wolverhampton Wanderers;West Bromwich Albion;Huddersfield Town;Stan Cullis
1954-55;Chelsea;Wolverhampton Wanderers;Portsmouth;Ted Drake
1955-56;Manchester United;Blackpool;Wolverhampton Wanderers;Matt Busby
1956-57;Manchester United;Tottenham Hotspur;Preston North End;Matt Busby
1957-58;Wolverhampton Wanderers;Preston North End;Tottenham Hotspur;Stan Cullis
1958-59;Wolverhampton Wanderers;Manchester United;Arsenal;Stan Cullis
1959-60;Burnley;Wolverhampton Wanderers;Tottenham Hotspur;Harry Potts
1960-61;Tottenham Hotspur;Sheffield Wednesday;Wolverhampton Wanderers;Bill Nicholson
1961-62;Ipswich Town;Burnley;Tottenham Hotspur;Alf Ramsey
1962-63;Everton;Tottenham Hotspur;Burnley;Harry Catterick
1963-64;Liverpool;Manchester United;Everton;Bill Shankly
1964-65;Manchester United;Leeds United;Chelsea;Matt Busby
1965-66;Liverpool;Leeds United;Burnley;Bill Shankly
1966-67;Manchester United;Nottingham Forest;Tottenham Hotspur;Matt Busby
1967-68;Manchester City;Manchester United;Liverpool;Joe Mercer
1968-69;Leeds United;Liverpool;Everton;Don Revie
1969-70;Everton;Leeds United;Chelsea;Harry Catterick
1970-71;Arsenal;Leeds United;Tottenham Hotspur;Bertie Mee
1971-72;Derby County;Leeds United;Liverpool;Brian Clough
1972-73;Liverpool;Arsenal;Leeds United;Bill Shankly
1973-74;Leeds United;Liverpool;Derby County;Don Revie
1974-75;Derby County;Liverpool;Ipswich Town;Dave Mackay
1975-76;Liverpool;Queens Park Rangers;Manchester United;Bob Paisley
1976-77;Liverpool;Manchester City;Ipswich Town;Bob Paisley
1977-78;Nottingham Forest;Liverpool;Everton;Brian Clough
1978-79;Liverpool;Nottingham Forest;West Bromwich Albion;Bob Paisley
1979-80;Liverpool;Manchester United;Ipswich Town;Bob Paisley
1980-81;Aston Villa;Ipswich Town;Arsenal;Ron Saunders
1981-82;Liverpool;Ipswich Town;Manchester United;Bob Paisley
1982-83;Liverpool;Watford;Manchester United;Bob Paisley
1983-84;Liverpool;Southampton;Nottingham Forest;Joe Fagan
1984-85;Everton;Liverpool;Tottenham Hotspur;Howard Kendall
1985-86;Liverpool;Everton;West Ham United;Kenny Dalglish
1986-87;Everton;Liverpool;Tottenham Hotspur;Howard Kendall
1987-88;Liverpool;Manchester United;Nottingham Forest;Kenny Dalglish
1988-89;Arsenal;Liverpool;Nottingham Forest;George Graham
1989-90;Liverpool;Aston Villa;Tottenham Hotspur;Kenny Dalglish
1990-91;Arsenal;Liverpool;Crystal Palace;George Graham
1991-92;Leeds United;Manchester United;Sheffield Wednesday;Howard Wilkinson
1992-93;Manchester United;Aston Villa;Norwich City;Alex Ferguson
1993-94;Manchester United;Blackburn Rovers;Newcastle United;Alex Ferguson
1994-95;Blackburn Rovers;Manchester United;Nottingham Forest;Kenny Dalglish
1995-96;Manchester United;Newcastle United;Liverpool;Alex Ferguson
1996-97;Manchester United;Newcastle United;Arsenal;Alex Ferguson
1997-98;Arsenal;Manchester United;Liverpool;Arsène Wenger
1998-99;Manchester United;Arsenal;Chelsea;Alex Ferguson
1999-00;Manchester United;Arsenal;Leeds United;Alex Ferguson
2000-01;Manchester United;Arsenal;Liverpool;Alex Ferguson
2001-02;Arsenal;Liverpool;Manchester United;Arsène Wenger
2002-03;Manchester United;Arsenal;Newcastle United;Alex Ferguson
2003-04;Arsenal;Chelsea;Manchester United;Arsène Wenger
2004-05;Chelsea;Arsenal;Manchester United;José Mourinho
2005-06;Chelsea;Manchester United;Liverpool;José Mourinho
2006-07;Manchester United;Chelsea;Liverpool;Alex Ferguson
2007-08;Manchester United;Chelsea;Arsenal;Alex Ferguson
2008-09;Manchester United;Liverpool;Chelsea;Alex Ferguson
2009-10;Chelsea;Manchester United;Arsenal;Carlo Ancelotti
2010-11;Manchester United;Chelsea;Manchester City;Alex Ferguson
2011-12;Manchester City;Manchester United;Arsenal;Roberto Mancini
2012-13;Manchester United;Manchester City;Chelsea;Alex Ferguson
2013-14;Manchester City;Liverpool;Chelsea;Manuel Pellegrini
2014-15;Chelsea;Manchester City;Arsenal;José Mourinho
2015-16;Leicester City;Arsenal;Tottenham Hotspur;Claudio Ranieri
2016-17;Chelsea;Tottenham Hotspur;Manchester City;Antonio Conte
2017-18;Manchester City;Manchester United;Tottenham Hotspur;Pep Guardiola
2018-19;Manchester City;Liverpool;Chelsea;Pep Guardiola
2019-20;Liverpool;Manchester City;Manchester United;Jürgen Klopp
2020-21;Manchester City;Manchester United;Liverpool;Pep Guardiola
2021-22;Manchester City;Liverpool;Chelsea;Pep Guardiola
2022-23;Manchester City;Arsenal;Manchester United;Pep Guardiola
2023-24;Manchester City;Arsenal;Liverpool;Pep Guardiola
