team;location;stadium;capacity
Blackburn Rovers;Blackburn;Ewood Park;31367
Bristol City;Bristol;Ashton Gate Stadium;27000
Burnley;Burnley;Turf Moor;21944
Cardiff City;Cardiff;Cardiff City Stadium;33280
Coventry City;Coventry;Coventry Building Society Arena;32609
Derby County;Derby;Pride Park Stadium;32956
Hull City;Kingston upon Hull;MKM Stadium;25586
Leeds United;Leeds;Elland Road;37608
Luton Town;Luton;Kenilworth Road;12000
Middlesbrough;Middlesbrough;Riverside Stadium;34742
Millwall;London (Bermondsey);The Den;20146
Norwich City;Norwich;Carrow Road;27359
Oxford United;Oxford;Kassam Stadium;12500
Plymouth Argyle;Plymouth;Home Park;17900
Portsmouth;Portsmouth;Fratton Park;20899
Preston North End;Preston;Deepdale;23404
Queens Park Rangers;London (Shepherd's Bush);Loftus Road;18439
Sheffield United;Sheffield;Bramall Lane;32050
Sheffield Wednesday;Sheffield;Hillsborough Stadium;39732
Stoke City;Stoke-on-Trent;bet365 Stadium;30089
Sunderland;Sunderland;Stadium of Light;49000
Swansea City;Swansea;Swansea.com Stadium;21088
Watford;Watford;Vicarage Road;22200
West Bromwich Albion;West Bromwich;The Hawthorns;26850
