2024-25 club;2023-24 position;status;first season in top division;first season in premier league;seasonsin top division;seasons in premier league;top division titles;most recent top division title
Arsenal;2;PL;1904-05;1992-93;108;33;13;2003-04
Aston Villa;4;PL;1888-89;1992-93;111;30;7;1980-81
Bournemouth;12;PL;2015-16;2015-16;8;8;0;-
Brentford;16;PL;1935-36;2021-22;9;4;0;-
Brighton & Hove Albion;11;PL;1979-80;2017-18;12;8;0;-
Chelsea;6;PL;1907-08;1992-93;90;33;6;2016-17
Crystal Palace;10;PL;1969-70;1992-93;25;16;0;-
Everton;15;PL;1888-89;1992-93;122;33;9;1986-87
Fulham;13;PL;1949-50;2001-02;30;18;0;-
Ipswich Town;2;EFL;1961-62;1992-93;27;6;1;1961-62
Leicester City;1;EFL;1955-56;1994-95;56;18;1;2015-16
Liverpool;3;PL;1894-95;1992-93;110;33;19;2019-20
Manchester City;1;PL;1899-00;1992-93;96;28;10;2023-24
Manchester United;8;PL;1892-93;1992-93;100;33;20;2012-13
Newcastle United;7;PL;1898-99;1993-94;93;30;4;1926-27
Nottingham Forest;17;PL;1892-93;1992-93;59;8;1;1977-78
Southampton;4;EFL;1966-67;1992-93;47;25;0;-
Tottenham Hotspur;5;PL;1909-10;1992-93;90;33;2;1960-61
West Ham United;9;PL;1923-24;1993-94;67;29;0;-
Wolverhampton Wanderers;14;PL;1888-89;2003-04;70;11;3;1958-59
