player;player country code;fee (million punds);year;transfer from;transfer to
Philippe Coutinho ;BRA;105;2018;Liverpool;Barcelona
Moisés Caicedo ;ECU;100;2023;Brighton & Hove Albion;Chelsea
Declan Rice ;ENG;100;2023;West Ham United;Arsenal
Jack Grealish ;ENG;100;2021;Aston Villa;Manchester City
Eden Hazard ;BEL;89;2019;Chelsea;Real Madrid
Harry Kane ;ENG;86;2023;Tottenham Hotspur;Bayern Munich
Gareth Bale ;WAL;86;2013;Tottenham Hotspur;Real Madrid
Cristiano Ronaldo ;POR;80;2009;Manchester United;Real Madrid
Harry Maguire ;ENG;80;2019;Leicester City;Manchester United
Romelu Lukaku ;BEL;75;2017;Everton;Manchester United
Virgil van Dijk ;NED;75;2018;Southampton;Liverpool
