Player,Fee (£ million),Year,Transfer from,Transfer to,Reference(s)
Philippe Coutinho (BRA),£105[a],2018,Liverpool,Barcelona,[281]
Moisés Caicedo (ECU),£100[b],2023,Brighton & Hove Albion,Chelsea,[268]
Declan Rice (ENG),£100[c],2023,West Ham United,Arsenal,[282]
Jack Grealish (ENG),£100,2021,Aston Villa,Manchester City,[270]
Eden Hazard (BEL),£89[d],2019,Chelsea,Real Madrid,[283]
Harry Kane (ENG),£86.4,2023,Tottenham Hotspur,Bayern Munich,[284]
Gareth Bale (WAL),£86,2013,Tottenham Hotspur,Real Madrid,[285][286]
Cristiano Ronaldo (POR),£80,2009,Manchester United,Real Madrid,[287][288]
Harry Maguire (ENG),£80,2019,Leicester City,Manchester United,[277][278]
Romelu Lukaku (BEL),£75,2017,Everton,Manchester United,[289][290][291]
Virgil van Dijk (NED),£75,2018,Southampton,Liverpool,[292]
